device_id,timestamp,temperature,humidity,vibration,score,prediction
device-11,2026-03-13T16:30:49.717589,19.8,43.05,0.0323,0.04270002051671007,normal
device-12,2026-03-13T16:30:49.718718,21.16,50.95,0.0311,0.1153465540618746,normal
device-13,2026-03-13T16:30:49.720314,23.38,51.53,0.0317,0.06603690588467004,normal
device-14,2026-03-13T16:30:49.720600,18.85,51.03,0.0314,0.10707233903211161,normal
device-15,2026-03-13T16:30:49.720744,20.96,55.76,0.0347,0.027314308973449553,normal
device-16,2026-03-13T16:30:49.720995,20.49,50.28,0.0381,0.07270299970852734,normal
device-17,2026-03-13T16:30:49.721148,22.78,57.17,0.0167,-0.018282394112032363,ANOMALY
device-18,2026-03-13T16:30:49.722722,23.19,50.28,0.018,0.018690796234985707,normal
device-19,2026-03-13T16:30:49.723168,19.54,42.47,0.0529,0.007133846751110062,normal
device-20,2026-03-13T16:30:49.723282,21.93,46.06,0.0274,0.12309347576564234,normal
device-1,2026-03-13T16:30:51.729470,21.73,47.05,0.0224,0.06521141660177077,normal
device-2,2026-03-13T16:30:51.730502,24.53,56.96,0.0255,-0.0030901065556504514,ANOMALY
device-3,2026-03-13T16:30:51.730634,21.44,45.94,0.02,-0.00442557948991118,ANOMALY
device-4,2026-03-13T16:30:51.730733,21.81,45.28,0.0111,0.05446380371414605,normal
device-5,2026-03-13T16:30:51.731059,20.83,50.1,0.0421,0.05949962742503756,normal
device-6,2026-03-13T16:30:51.731145,19.15,51.13,0.0147,0.039047617052825334,normal
device-7,2026-03-13T16:30:51.731223,22.7,45.64,0.0302,0.07945522843870179,normal
device-8,2026-03-13T16:30:51.731272,21.87,57.42,0.029,0.12513789001929504,normal
device-9,2026-03-13T16:30:51.731310,20.36,44.84,0.0417,0.007133846751110062,normal
device-10,2026-03-13T16:30:51.731342,20.79,50.24,0.0162,0.04288519832928461,normal
device-11,2026-03-13T16:30:51.731376,21.3,48.58,0.043,0.03242679067946874,normal
device-12,2026-03-13T16:30:51.731409,20.77,51.43,0.0197,0.035523512634274,normal
device-13,2026-03-13T16:30:51.731440,22.76,43.06,0.0239,0.042428230932402666,normal
device-14,2026-03-13T16:30:51.731470,24.47,49.7,0.0461,0.022690286344908217,normal
device-15,2026-03-13T16:30:51.731501,22.64,50.11,0.0208,0.0770764602570384,normal
device-16,2026-03-13T16:30:51.731530,23.02,44.5,0.0252,0.016149112308213698,normal
device-17,2026-03-13T16:30:51.732137,20.13,52.49,0.0436,0.021159837741320908,normal
device-18,2026-03-13T16:30:51.732232,19.84,50.04,0.0483,0.060859829924891695,normal
device-19,2026-03-13T16:30:51.732273,21.38,55.07,0.0287,0.05886404590148164,normal
device-20,2026-03-13T16:30:51.732318,21.15,51.38,0.0315,0.10376413923949979,normal
device-1,2026-03-13T16:30:53.743335,21.21,59.47,0.0362,0.019698711024296656,normal
device-2,2026-03-13T16:30:53.744825,23.41,62.08,0.0224,-0.019498888709316597,ANOMALY
device-3,2026-03-13T16:30:53.746248,22.85,47.58,0.0242,0.03202938702198288,normal
device-4,2026-03-13T16:30:53.746538,21.74,54.48,0.0321,0.08830601638879221,normal
device-5,2026-03-13T16:30:53.746693,26.54,52.6,0.0373,-0.0026783308436432174,ANOMALY
device-6,2026-03-13T16:30:53.746811,22.63,49.13,0.0254,0.09345778454246934,normal
device-7,2026-03-13T16:30:53.746926,20.45,38.41,0.0312,0.050613541069222,normal
device-8,2026-03-13T16:30:53.747041,22.69,52.54,0.0353,0.04496949965363306,normal
device-9,2026-03-13T16:30:53.747150,22.85,45.77,0.033,0.048100166785041476,normal
device-10,2026-03-13T16:30:53.747260,21.98,48.75,0.0204,0.08907474360064216,normal
device-11,2026-03-13T16:30:53.747372,21.64,56.48,0.0255,0.053695272341602984,normal
device-12,2026-03-13T16:30:53.747476,21.58,60.98,0.0305,0.0740646886198375,normal
device-13,2026-03-13T16:30:53.747693,23.03,52.6,0.0344,0.014977676862154121,normal
device-14,2026-03-13T16:30:53.747862,21.15,56.56,0.0394,0.004642266488291136,normal
device-15,2026-03-13T16:30:53.747997,22.1,47.24,0.0308,0.12526126539682797,normal
device-16,2026-03-13T16:30:53.748117,24.17,37.1,0.0134,-0.01677454945060386,ANOMALY
device-17,2026-03-13T16:30:53.748230,21.1,38.16,0.0273,0.053797077749587974,normal
device-18,2026-03-13T16:30:53.748335,22.7,54.17,0.0479,0.013973364854517056,normal
device-19,2026-03-13T16:30:53.748692,23.57,47.92,0.0195,-0.011832176486791801,ANOMALY
device-20,2026-03-13T16:30:53.748793,22.56,51.54,0.0381,0.07773410207680753,normal
device-1,2026-03-13T16:30:55.757261,24.84,43.81,0.0203,-0.012921560990458048,ANOMALY
device-2,2026-03-13T16:30:55.758966,21.81,56.19,0.0415,0.056300116272923306,normal
device-3,2026-03-13T16:30:55.759188,22.53,50.2,0.035,0.1059687236448465,normal
device-4,2026-03-13T16:30:55.759283,24.22,45.49,0.0291,0.03758857017801953,normal
device-5,2026-03-13T16:30:55.759380,21.87,44.93,0.0254,0.09910525431246259,normal
device-6,2026-03-13T16:30:55.759456,23.33,45.61,0.0285,0.03499091680436772,normal
device-7,2026-03-13T16:30:55.759532,21.88,51.67,0.0436,0.11319614936189903,normal
device-8,2026-03-13T16:30:55.759615,21.16,46.14,0.0267,0.05053646808195167,normal
device-9,2026-03-13T16:30:55.761029,23.11,48.77,0.023,0.02356022541176983,normal
device-10,2026-03-13T16:30:55.761272,23.84,51.74,0.0073,-0.006806033447403714,ANOMALY
device-11,2026-03-13T16:30:55.761564,22.12,43.41,0.0419,0.0598682818811519,normal
device-12,2026-03-13T16:30:55.761789,24.2,54.05,0.0324,0.01802865985137636,normal
device-13,2026-03-13T16:30:55.762560,20.99,53.07,0.0451,0.004642266488291136,normal
device-14,2026-03-13T16:30:55.762861,20.27,51.6,0.0426,0.05627331617539,normal
device-15,2026-03-13T16:30:55.763639,21.87,55.25,0.0304,0.1250794305881101,normal
device-16,2026-03-13T16:30:55.763913,24.49,53.43,0.035,-0.0010844063612250876,ANOMALY
device-17,2026-03-13T16:30:55.764113,21.35,51.96,0.0189,0.023472491434110898,normal
device-18,2026-03-13T16:30:55.764327,21.77,51.65,0.0195,0.07930305469351451,normal
device-19,2026-03-13T16:30:55.764501,24.39,49.1,0.0167,0.008677602710466359,normal
device-20,2026-03-13T16:30:55.764679,21.51,58.24,0.0368,0.020909125540025886,normal
device-1,2026-03-13T16:30:57.811055,24.82,48.4,0.0496,-0.006844477969499274,ANOMALY
device-2,2026-03-13T16:30:57.811909,24.86,56.0,0.0317,0.01828062798390706,normal
device-3,2026-03-13T16:30:57.812296,21.9,53.46,0.0152,0.038670026295296034,normal
device-4,2026-03-13T16:30:57.812567,21.36,48.72,0.0187,0.016944074260587416,normal
device-5,2026-03-13T16:30:57.812761,22.5,54.88,0.0415,0.03388355589549852,normal
device-6,2026-03-13T16:30:57.812948,22.39,44.66,0.0378,0.04704054645162614,normal
device-7,2026-03-13T16:30:57.813168,22.1,37.21,0.0383,0.06770101570860287,normal
device-8,2026-03-13T16:30:57.813415,20.72,52.76,0.0201,-0.005567877147317213,ANOMALY
device-9,2026-03-13T16:30:57.813593,21.35,52.92,0.0462,0.004642266488291136,normal
device-10,2026-03-13T16:30:57.813762,20.94,46.02,0.0452,0.007133846751110062,normal
device-11,2026-03-13T16:30:57.813924,22.67,45.3,0.0195,0.017114616529535276,normal
device-12,2026-03-13T16:30:57.815771,21.72,47.87,0.0321,0.09841885249872906,normal
device-13,2026-03-13T16:30:57.816555,22.7,56.18,0.0173,-0.003976659675168026,ANOMALY
device-14,2026-03-13T16:30:57.816725,21.22,52.73,0.0453,0.012382528237886214,normal
device-15,2026-03-13T16:30:57.816865,19.96,46.02,0.0236,0.029911412706330687,normal
device-16,2026-03-13T16:30:57.816966,22.59,51.16,0.0233,0.08434746101062807,normal
device-17,2026-03-13T16:30:57.817058,22.66,55.62,0.0148,0.0008624767638076847,normal
device-18,2026-03-13T16:30:57.817143,21.52,57.57,0.0311,0.05992563973761711,normal
device-19,2026-03-13T16:30:57.818320,23.2,48.41,0.0256,0.0317475331094863,normal
device-20,2026-03-13T16:30:57.819023,19.95,61.65,0.0153,-0.019230557937709336,ANOMALY
device-1,2026-03-13T16:30:59.830566,22.52,46.78,0.0385,0.038901444470725965,normal
device-2,2026-03-13T16:30:59.831604,20.96,58.47,0.0343,0.028508725972659743,normal
device-3,2026-03-13T16:30:59.831834,22.82,55.14,0.024,0.013498855527106723,normal
device-4,2026-03-13T16:30:59.832016,19.8,54.33,0.0324,0.04319852267728619,normal
device-5,2026-03-13T16:30:59.832198,23.97,56.34,0.0352,-0.009080364702090726,ANOMALY
device-6,2026-03-13T16:30:59.832364,21.55,50.14,0.0095,0.051271328340964484,normal
device-7,2026-03-13T16:30:59.834177,19.04,55.35,0.0387,0.010643900077143997,normal
device-8,2026-03-13T16:30:59.834472,22.35,49.56,0.039,0.09586894402254631,normal
device-9,2026-03-13T16:30:59.834597,21.19,52.64,0.017,-0.007285085081648157,ANOMALY
device-10,2026-03-13T16:30:59.834715,22.81,50.82,0.0323,0.10604487941525409,normal
device-11,2026-03-13T16:30:59.834914,22.71,56.24,0.0004,-0.007773040826770439,ANOMALY
device-12,2026-03-13T16:30:59.835076,22.06,45.69,0.0325,0.11101880089306165,normal
device-13,2026-03-13T16:30:59.835219,22.95,51.04,0.0448,0.026791713757831404,normal
device-14,2026-03-13T16:30:59.835340,24.81,57.75,0.0418,-0.03125480398050662,ANOMALY
device-15,2026-03-13T16:30:59.835458,18.51,51.93,0.0272,0.08917869249568455,normal
device-16,2026-03-13T16:30:59.836830,21.06,45.29,0.0379,0.014515836175736707,normal
device-17,2026-03-13T16:30:59.837062,24.04,49.65,0.0202,0.02111331269402339,normal
device-18,2026-03-13T16:30:59.837162,21.97,55.74,0.0253,0.0875119459339907,normal
device-19,2026-03-13T16:30:59.837249,22.66,57.28,0.0309,0.07506301480878452,normal
device-20,2026-03-13T16:30:59.837401,23.03,48.03,0.0308,0.04530957410365377,normal
device-1,2026-03-13T16:31:01.845434,24.6,51.39,0.0239,0.03672845730228946,normal
device-2,2026-03-13T16:31:01.846446,24.28,47.75,0.0188,-0.01677454945060386,ANOMALY
device-3,2026-03-13T16:31:01.846663,20.96,47.59,0.001,-0.00442557948991118,ANOMALY
device-4,2026-03-13T16:31:01.846770,24.53,49.76,0.0292,0.08728853931560587,normal
device-5,2026-03-13T16:31:01.847004,22.35,49.73,0.0438,0.09719885270334166,normal
device-6,2026-03-13T16:31:01.847088,24.13,50.74,0.0283,0.07587318030582446,normal
device-7,2026-03-13T16:31:01.847149,24.21,46.24,0.0326,0.027276209922247552,normal
device-8,2026-03-13T16:31:01.847207,23.99,54.97,0.0236,-0.011782984797486962,ANOMALY
device-9,2026-03-13T16:31:01.847262,22.83,41.37,0.0536,0.00778304518656614,normal
device-10,2026-03-13T16:31:01.847317,20.48,52.73,0.0336,0.04086908489526364,normal
device-11,2026-03-13T16:31:01.847376,22.57,44.5,0.0372,0.03437165171817502,normal
device-12,2026-03-13T16:31:01.847433,22.75,55.02,0.0337,0.04220956330194958,normal
device-13,2026-03-13T16:31:01.847498,22.63,49.61,0.0226,0.08771435919010329,normal
device-14,2026-03-13T16:31:01.847552,20.51,48.65,0.041,0.03242679067946874,normal
device-15,2026-03-13T16:31:01.847608,22.42,58.84,0.0377,0.056030298189830074,normal
device-16,2026-03-13T16:31:01.847660,24.72,58.18,0.0374,-0.010353908505971399,ANOMALY
device-17,2026-03-13T16:31:01.847713,22.42,52.04,0.0297,0.13486747234800356,normal
device-18,2026-03-13T16:31:01.847777,22.75,47.25,0.0351,0.03263836823190147,normal
device-19,2026-03-13T16:31:01.847833,22.07,43.06,0.042,0.06570612510649276,normal
device-20,2026-03-13T16:31:01.847890,21.08,44.65,0.0231,0.023679453290399444,normal
device-1,2026-03-13T16:31:03.861262,23.13,44.66,0.0256,0.021854901066252208,normal
device-2,2026-03-13T16:31:03.868237,24.57,50.49,0.0319,0.08312842874331383,normal
device-3,2026-03-13T16:31:03.868349,22.42,48.22,0.027,0.10264291441334289,normal
device-4,2026-03-13T16:31:03.869007,22.13,46.25,0.0294,0.12476210883567324,normal
device-5,2026-03-13T16:31:03.870964,24.44,55.44,0.0237,-0.011782984797486962,ANOMALY
device-6,2026-03-13T16:31:03.871090,23.21,46.14,0.0317,0.03253077541366689,normal
device-7,2026-03-13T16:31:03.871576,21.58,57.57,0.0324,0.058909244412233774,normal
device-8,2026-03-13T16:31:03.875015,23.02,45.95,0.0208,-0.009092802613922979,ANOMALY
device-9,2026-03-13T16:31:03.875196,21.95,47.35,0.0528,0.06920475099752699,normal
device-10,2026-03-13T16:31:03.875253,17.22,49.73,0.0315,0.10361059222097746,normal
device-11,2026-03-13T16:31:03.875294,20.93,46.98,0.0195,-0.00442557948991118,ANOMALY
device-12,2026-03-13T16:31:03.875330,21.1,51.68,0.026,0.08999908171614368,normal
device-13,2026-03-13T16:31:03.875364,20.33,42.58,0.0306,0.05711434764297929,normal
device-14,2026-03-13T16:31:03.875397,25.88,55.33,0.0413,-0.03125480398050662,ANOMALY
device-15,2026-03-13T16:31:03.875569,22.3,58.76,0.0274,0.10538986821888913,normal
device-16,2026-03-13T16:31:03.875632,22.36,46.01,0.0245,0.07469568061825516,normal
device-17,2026-03-13T16:31:03.876219,21.41,50.28,0.039,0.061750875844602815,normal
device-18,2026-03-13T16:31:03.876311,21.03,52.88,0.0366,0.019698711024296656,normal
device-19,2026-03-13T16:31:03.876357,22.06,58.57,0.0315,0.1132884225953561,normal
device-20,2026-03-13T16:31:03.876405,24.28,38.93,0.0122,-0.01677454945060386,ANOMALY
device-1,2026-03-13T16:31:05.883693,21.95,63.55,0.0293,0.12612681634473427,normal
device-2,2026-03-13T16:31:05.884133,21.12,54.48,0.0374,0.019698711024296656,normal
device-3,2026-03-13T16:31:05.884286,25.85,56.68,0.0517,-0.03125480398050662,ANOMALY
device-4,2026-03-13T16:31:05.884464,21.25,58.1,0.0308,0.05879735682024323,normal
device-5,2026-03-13T16:31:05.885477,22.86,45.53,0.0368,0.014757388364887825,normal
device-6,2026-03-13T16:31:05.885769,19.83,60.42,0.0169,-0.019230557937709336,ANOMALY
device-7,2026-03-13T16:31:05.885947,22.3,56.44,0.0326,0.10263340951960925,normal
device-8,2026-03-13T16:31:05.886544,19.91,49.98,0.0154,0.04288519832928461,normal
device-9,2026-03-13T16:31:05.886994,21.9,51.01,0.0209,0.11433648535976282,normal
device-10,2026-03-13T16:31:05.887479,21.51,46.93,0.0297,0.0640018046021481,normal
device-11,2026-03-13T16:31:05.888616,22.61,53.45,0.036,0.03925074019482644,normal
device-12,2026-03-13T16:31:05.889480,20.2,50.38,0.0166,0.042204214835570464,normal
device-13,2026-03-13T16:31:05.889693,24.02,54.64,0.0269,0.009777673872035542,normal
device-14,2026-03-13T16:31:05.889791,21.09,50.85,0.0306,0.12063922653611825,normal
device-15,2026-03-13T16:31:05.889870,19.28,45.91,0.0343,0.024856822632023823,normal
device-16,2026-03-13T16:31:05.889949,20.86,58.98,0.0165,-0.019230557937709336,ANOMALY
device-17,2026-03-13T16:31:05.890768,24.39,59.05,0.0122,-0.043597608071066496,ANOMALY
device-18,2026-03-13T16:31:05.890953,23.28,50.63,0.0152,0.01249021189090005,normal
device-19,2026-03-13T16:31:05.892062,22.15,44.84,0.0288,0.1213667119837063,normal
device-20,2026-03-13T16:31:05.892161,24.29,51.89,0.0355,0.025096017593244202,normal
device-1,2026-03-13T16:31:07.899704,22.4,53.3,0.0237,0.053618538790989545,normal
device-2,2026-03-13T16:31:07.903774,20.22,45.91,0.0492,0.007133846751110062,normal
device-3,2026-03-13T16:31:07.904453,23.65,45.35,0.0204,-0.012921560990458048,ANOMALY
device-4,2026-03-13T16:31:07.904565,21.51,51.38,0.0292,0.11483688235468054,normal
device-5,2026-03-13T16:31:07.904637,23.63,51.83,0.0384,0.011593315896640588,normal
device-6,2026-03-13T16:31:07.904715,19.89,56.87,0.0202,-0.015095597434412245,ANOMALY
device-7,2026-03-13T16:31:07.904775,21.35,45.76,0.042,0.007133846751110062,normal
device-8,2026-03-13T16:31:07.904828,23.5,45.34,0.0235,0.012480095980903716,normal
device-9,2026-03-13T16:31:07.904940,22.73,37.05,0.0239,0.042428230932402666,normal
device-10,2026-03-13T16:31:07.904989,20.9,35.49,0.0337,0.02869543121992446,normal
device-11,2026-03-13T16:31:07.905038,22.03,54.24,0.0226,0.06442604686357145,normal
device-12,2026-03-13T16:31:07.905088,21.54,47.85,0.0374,0.02795100329739586,normal
device-13,2026-03-13T16:31:07.905136,21.36,46.56,0.0198,-0.00442557948991118,ANOMALY
device-14,2026-03-13T16:31:07.905183,20.81,48.12,0.0235,0.03565655527699385,normal
device-15,2026-03-13T16:31:07.905228,25.22,47.97,0.0548,-0.010923599751196611,ANOMALY
device-16,2026-03-13T16:31:07.905275,21.74,52.45,0.0225,0.0703112650575004,normal
device-17,2026-03-13T16:31:07.905323,25.03,50.51,0.0189,0.018232009858398124,normal
device-18,2026-03-13T16:31:07.905367,24.22,42.86,0.027,0.03206535213544626,normal
device-19,2026-03-13T16:31:07.905412,20.6,56.51,0.0243,0.02527221552541037,normal
device-20,2026-03-13T16:31:07.905458,21.32,39.53,0.0271,0.05168210402989981,normal
device-1,2026-03-13T16:31:09.918573,21.45,49.15,0.0336,0.07551544061526028,normal
device-2,2026-03-13T16:31:09.918796,21.09,47.5,0.0396,0.007133846751110062,normal
device-3,2026-03-13T16:31:09.918909,19.06,49.61,0.0301,0.11643786030348047,normal
device-4,2026-03-13T16:31:09.918966,22.77,52.39,0.0166,0.014431788885024277,normal
device-5,2026-03-13T16:31:09.919024,21.38,47.09,0.0388,0.009604865850940558,normal
device-6,2026-03-13T16:31:09.919062,21.51,43.82,0.0323,0.04526197284221789,normal
device-7,2026-03-13T16:31:09.919100,21.98,49.04,0.0229,0.11366697305540363,normal
device-8,2026-03-13T16:31:09.919154,21.28,65.37,0.0255,0.03249675395716356,normal
device-9,2026-03-13T16:31:09.919245,23.07,50.82,0.0178,0.012235717938768986,normal
device-10,2026-03-13T16:31:09.919300,21.48,44.25,0.0335,0.02869543121992446,normal
device-11,2026-03-13T16:31:09.919342,23.02,59.37,0.0294,0.023965439348281214,normal
device-12,2026-03-13T16:31:09.919377,20.42,53.39,0.031,0.05879735682024323,normal
device-13,2026-03-13T16:31:09.919412,20.04,42.79,0.0041,-0.00442557948991118,ANOMALY
device-14,2026-03-13T16:31:09.919443,21.73,53.09,0.0309,0.10284690099402383,normal
device-15,2026-03-13T16:31:09.919476,21.45,45.61,0.0382,0.014515836175736707,normal
device-16,2026-03-13T16:31:09.919506,22.17,55.84,0.0301,0.11947993789047856,normal
device-17,2026-03-13T16:31:09.919538,24.51,40.38,0.0383,-0.009724056009483228,ANOMALY
device-18,2026-03-13T16:31:09.919568,22.97,46.9,0.0363,-0.0006142263348533072,ANOMALY
device-19,2026-03-13T16:31:09.919600,22.45,56.85,0.0336,0.07234645080228819,normal
device-20,2026-03-13T16:31:09.920441,21.07,55.27,0.0345,0.028508725972659743,normal
device-1,2026-03-13T16:31:11.929578,21.02,56.56,0.0317,0.04319852267728619,normal
device-2,2026-03-13T16:31:11.931357,22.48,58.89,0.0386,0.04192319246263887,normal
device-3,2026-03-13T16:31:11.932511,22.34,49.27,0.0298,0.1591316968804462,normal
device-4,2026-03-13T16:31:11.932694,25.5,48.8,0.0166,-0.00010437470447810515,ANOMALY
device-5,2026-03-13T16:31:11.933319,20.46,51.7,0.0399,0.05490145396770596,normal
device-6,2026-03-13T16:31:11.933748,21.57,53.78,0.0221,0.024464089809278056,normal
device-7,2026-03-13T16:31:11.934148,23.85,47.13,0.0263,0.028497060843213906,normal
device-8,2026-03-13T16:31:11.934302,21.48,46.18,0.0256,0.03842505833482712,normal
device-9,2026-03-13T16:31:11.934637,22.01,41.67,0.0254,0.10213680542924841,normal
device-10,2026-03-13T16:31:11.934735,22.17,52.61,0.0299,0.1315249102717993,normal
device-11,2026-03-13T16:31:11.934787,20.86,42.53,0.0178,-0.00442557948991118,ANOMALY
device-12,2026-03-13T16:31:11.934887,21.84,45.0,0.042,0.06675419413932726,normal
device-13,2026-03-13T16:31:11.935106,21.85,56.46,0.0241,0.07054212869080156,normal
device-14,2026-03-13T16:31:11.935155,21.58,53.49,0.0176,-0.004677038657177834,ANOMALY
device-15,2026-03-13T16:31:11.935220,22.27,58.07,0.0379,0.06543541656469842,normal
device-16,2026-03-13T16:31:11.935259,23.27,53.87,0.0279,0.013281964762838605,normal
device-17,2026-03-13T16:31:11.935296,24.02,46.45,0.0138,-0.01677454945060386,ANOMALY
device-18,2026-03-13T16:31:11.935334,20.54,48.51,0.0414,0.03242679067946874,normal
device-19,2026-03-13T16:31:11.935374,25.32,55.36,0.0205,-0.036908886381675776,ANOMALY
device-20,2026-03-13T16:31:11.935410,21.91,55.59,0.0278,0.1143230571940766,normal
device-1,2026-03-13T16:31:13.949482,20.49,45.62,0.0579,0.007133846751110062,normal
device-2,2026-03-13T16:31:13.954008,20.83,54.14,0.0328,0.04062697000407023,normal
device-3,2026-03-13T16:31:13.954237,22.5,44.8,0.0233,0.055883367070301615,normal
device-4,2026-03-13T16:31:13.954580,22.26,49.42,0.0316,0.1597936502165,normal
device-5,2026-03-13T16:31:13.954676,22.5,46.07,0.0246,0.06512369163986276,normal
device-6,2026-03-13T16:31:13.954796,21.0,55.18,0.018,-0.019230557937709336,ANOMALY
device-7,2026-03-13T16:31:13.954879,21.43,48.1,0.0228,0.02829549662237507,normal
device-8,2026-03-13T16:31:13.954957,23.66,51.33,0.0235,0.03672845730228946,normal
device-9,2026-03-13T16:31:13.955043,20.38,45.99,0.0389,0.007133846751110062,normal
device-10,2026-03-13T16:31:13.955117,21.87,49.73,0.0296,0.186283775515513,normal
device-11,2026-03-13T16:31:13.955192,22.52,47.73,0.026,0.0742391827684411,normal
device-12,2026-03-13T16:31:13.955263,20.53,52.89,0.0223,0.012100873157183334,normal
device-13,2026-03-13T16:31:13.955337,20.24,59.17,0.0216,-0.004378920113617624,ANOMALY
device-14,2026-03-13T16:31:13.955410,20.21,56.38,0.0307,0.05879735682024323,normal
device-15,2026-03-13T16:31:13.955483,21.94,38.87,0.028,0.12209816411554658,normal
device-16,2026-03-13T16:31:13.955556,22.8,35.57,0.0172,0.004998890136309275,normal
device-17,2026-03-13T16:31:13.955628,23.14,49.34,0.0362,0.032698639732454016,normal
device-18,2026-03-13T16:31:13.955702,22.47,46.29,0.0513,0.035376415007150275,normal
device-19,2026-03-13T16:31:13.955772,19.69,61.3,0.0352,0.020909125540025886,normal
device-20,2026-03-13T16:31:13.955844,20.08,52.32,0.0357,0.04660439025527108,normal
device-1,2026-03-13T16:31:15.965213,22.02,42.33,0.0389,0.0679313258628711,normal
device-2,2026-03-13T16:31:15.966922,21.41,53.96,0.0291,0.05886404590148164,normal
device-3,2026-03-13T16:31:15.968190,20.56,47.22,0.0246,0.03725151568186447,normal
device-4,2026-03-13T16:31:15.968351,21.64,40.57,0.0144,0.02307256312479089,normal
